0,0,0
0.005,0,0.005
0.01,0,0.01
0.015,0,0.015
0.02,0,0.02
0.025,0,0.025
0.03,0,0.03
0.035,0,0.035
0.04,0,0.04
0.045,0,0.045
0.05,0,0.05
0.055,0,0.055
0.06,0,0.06
0.065,0,0.065
0.07,0,0.07
0.075,0,0.075
0.08,0,0.08
0.085,0,0.085
0.09,0,0.09
0.095,0,0.095
0.1,0,0.1
0.105,0,0.105
0.11,0,0.11
0.115,0,0.115
0.12,0,0.12
0.125,0,0.125
0.13,0,0.13
0.135,0,0.135
0.14,0,0.14
0.145,0,0.145
0.15,0,0.15
0.155,0,0.155
0.16,0,0.16
0.165,0,0.165
0.17,0,0.17
0.175,0,0.175
0.18,0,0.18
0.185,0,0.185
0.19,0,0.19
0.195,0,0.195
0.2,0,0.2
0.005,0.005,0.005
0.01,0.005,0.01
0.015,0.005,0.015
0.02,0.005,0.02
0.025,0.005,0.025
0.03,0.005,0.03
0.035,0.005,0.035
0.04,0.005,0.04
0.045,0.005,0.045
0.05,0.005,0.05
0.055,0.005,0.055
0.06,0.005,0.06
0.065,0.005,0.065
0.07,0.005,0.07
0.075,0.005,0.075
0.08,0.005,0.08
0.085,0.005,0.085
0.09,0.005,0.09
0.095,0.005,0.095
0.1,0.005,0.1
0.105,0.005,0.105
0.11,0.005,0.11
0.115,0.005,0.115
0.12,0.005,0.12
0.125,0.005,0.125
0.13,0.005,0.13
0.135,0.005,0.135
0.14,0.005,0.14
0.145,0.005,0.145
0.15,0.005,0.15
0.155,0.005,0.155
0.16,0.005,0.16
0.165,0.005,0.165
0.17,0.005,0.17
0.175,0.005,0.175
0.18,0.005,0.18
0.185,0.005,0.185
0.19,0.005,0.19
0.195,0.005,0.195
0.2,0.005,0.2
0.005,0.01,0.005
0.01,0.01,0.01
0.015,0.01,0.015
0.02,0.01,0.02
0.025,0.01,0.025
0.03,0.01,0.03
0.035,0.01,0.035
0.04,0.01,0.04
0.045,0.01,0.045
0.05,0.01,0.05
0.055,0.01,0.055
0.06,0.01,0.06
0.065,0.01,0.065
0.07,0.01,0.07
0.075,0.01,0.075
0.08,0.01,0.08
0.085,0.01,0.085
0.09,0.01,0.09
0.095,0.01,0.095
0.1,0.01,0.1
0.105,0.01,0.105
0.11,0.01,0.11
0.115,0.01,0.115
0.12,0.01,0.12
0.125,0.01,0.125
0.13,0.01,0.13
0.135,0.01,0.135
0.14,0.01,0.14
0.145,0.01,0.145
0.15,0.01,0.15
0.155,0.01,0.155
0.16,0.01,0.16
0.165,0.01,0.165
0.17,0.01,0.17
0.175,0.01,0.175
0.18,0.01,0.18
0.185,0.01,0.185
0.19,0.01,0.19
0.195,0.01,0.195
0.2,0.01,0.2
0.001,0.001,0.001
0.002,0.002,0.002
0.003,0.003,0.003
0.004,0.004,0.004
0.005,0.005,0.005
0.005,0.006,0.005
0.005,0.007,0.005
0.005,0.008,0.005
0.005,0.009,0.005
0.005,0.01,0.005
0.0045,0.009,0.0045
0.004,0.008,0.004
0.0035,0.007,0.0035
0.003,0.006,0.003
0.0025,0.005,0.0025
0.002,0.004,0.002
0.0015,0.003,0.0015
0.001,0.002,0.001
0.0005,0.001,0.0005
0.2,0.001,0.2
0.2,0.002,0.2
0.2,0.003,0.2
0.2,0.004,0.2
0.2,0.005,0.2
0.2,0.006,0.2
0.2,0.007,0.2
0.2,0.008,0.2
0.2,0.009,0.2
0.2,0.01,0.2
0.2,0.009,0.2
0.2,0.008,0.2
0.2,0.007,0.2
0.2,0.006,0.2
0.2,0.005,0.2
0.2,0.004,0.2
0.2,0.003,0.2
0.2,0.002,0.2
0.2,0.001,0.2
